Counter,Location,Experiment,Site,Block,PID,Species,Treatment,Date_04,Use_growth_04,Soil_Pase_umol_g_hr_04
84,HI,FX,Volcano,4,278,MOFA,MN,6/20/18,1,56.12433797
85,HI,FX,Volcano,5,290,MOFA,MN,6/20/18,1,1.986029234
86,HI,FX,Volcano,6,302,MOFA,MN,6/20/18,1,1.834549482
87,HI,FX,Volcano,7,314,MOFA,MN,6/20/18,0,0.366919858
88,HI,FX,Volcano,8,326,MOFA,MN,6/20/18,0,NA
89,HI,FX,Volcano,1,248,MOFA,PHN,6/20/18,1,NA
90,HI,FX,Volcano,2,260,MOFA,PHN,6/20/18,0,NA
91,HI,FX,Volcano,3,272,MOFA,PHN,6/20/18,1,14.65093179
92,HI,FX,Volcano,4,284,MOFA,PHN,6/20/18,1,0.143010349
93,HI,FX,Volcano,5,296,MOFA,PHN,6/20/18,1,20.86239967
94,HI,FX,Volcano,6,308,MOFA,PHN,6/20/18,1,5.684259673
95,HI,FX,Volcano,7,320,MOFA,PHN,6/20/18,1,10.1122875
96,HI,FX,Volcano,8,332,MOFA,PHN,6/20/18,1,12.46533461
