Counter,Location,Experiment,Site,Block,PID,Paired_PID,Species,Treatment,Lat_Deg,Lon_Deg,Date_01,Days_01,Diam_mm_01,Height_cm_01,DBH_01,Canopy_length_cm_01,Canopy_width_cm_01,Ground_cover_percent_01,Notes_01,Dead_01,Use_growth_01,Date_02,Days_02,Diam_mm_02,Height_cm_02,DBH_02,Canopy_length_cm_02,Canopy_width_cm_02,Ground_cover_percent_02,Notes_02,Dead_02,Use_growth_02,Date_03,Days_03,Diam_mm_03,Height_cm_03,DBH_03,Canopy_length_cm_03,Canopy_width_cm_03,Ground_cover_percent_03,Notes_03,Dead_03,Use_growth_03,Date_03_5,Days_03_5,foliar_N_mg_g_03_5,foliar_C_mg_g_03_5,Date_04,Days_04,Diam_mm_04,Height_cm_04,DBH_04,Canopy_length_cm_04,Canopy_width_cm_04,Ground_cover_percent_04,Notes_04,Dead_04,Use_growth_04,foliar_N_mg_g_04,foliar_C_mg_g_04,foliar_15N_AP_04,foliar_d15N_04,foliar_d13C_04,disk_d15N_04,Date_05,Days_05,Diam_mm_05,Height_cm_05,DBH_05,Canopy_length_cm_05,Canopy_width_cm_05,Ground_cover_percent_05,Notes_05,Dead_05,Use_growth_05,Date_06,Days_06,Diam_mm_06,Height_cm_06,DBH_06,Canopy_length_cm_06,Canopy_width_cm_06,Ground_cover_percent_06,Notes_06,Dead_06,Use_growth_06,foliar_N_mg_g_06,foliar_C_mg_g_06,foliar_15N_AP_06,foliar_d15N_06,foliar_d13C_06,Aboveground_harvest_date_06,Harvest_notes_06,Main_stem_g_dry_06,Twigs_g_dry_06,Leaves_g_dry_06,Secondary_stems_g_dry_06,Fruit_g_dry_06,Dead_g_dry_06,Aboveground_mass_g_dry_06,Aboveground_mass_g_wet_06,Root_g_dry_06,Use_allometry_06,Allometry_use_notes_06,AGB_est_kg_01,AGB_est_kg_02,AGB_est_kg_03,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_06
11,HI,FX,Waiakea,2,143,145,CAEQ,LN,19.644323,-155.083672,1/17/16,0,2.2,33,NA,NA,NA,NA,,0,1,7/11/16,176,6.7,76.2,NA,NA,NA,NA,,0,1,6/25/17,525,17,124,NA,62,62,95,leaves turning colors,0.5,1,1/1/18,NA,18.7,500.7,6/22/18,887,39,290,NA,157,145,NA,,0,1,16.63796295,507.4882746,0.52067,423.6,-31.09,NA,1/14/19,1093,53,440,NA,268,264,NA,,0,1,7/16/19,1276,63.75,500,NA,360,346,NA,,0,1,16.5670173,490.6700509,0.39912,89.94,-30.41,7/16/19,"No secondary stem recorded, but tree would have had secondary stem (not marked as intensively sampled; maybe secondary stem was included with main stem weight?)",3318.3,1275.8,2212.2,0,NA,NA,6806.326802,13043,NA,1,See harvest notes; check to see if it's an outlier,0.002217674,0.025111874,0.114315634,0.969387673,2.712676364,4.487965936
12,HI,FX,Waiakea,3,155,157,CAEQ,LN,19.644323,-155.083672,5/28/16,0,4,81.28,NA,NA,NA,NA,,0,1,7/11/16,44,7.1,93.345,NA,NA,NA,NA,,0,1,6/25/17,393,33.5,244,NA,131,120,87.5,,0,1,1/1/18,NA,NA,NA,6/22/18,755,60,295,NA,257,272,NA,,0,1,20.04402918,494.2670451,0.46544,271.9,-29.95,NA,1/14/19,961,60,330,NA,308,500,NA,Diameter plateaus but height and canopy area increase,0,1,7/16/19,1144,105.85,270,NA,550,412,NA,,0,1,15.17397842,481.9540635,0.42329,156.24,-30.62,7/16/19,Aboveground wet weight 14.66 kg,NA,NA,NA,NA,NA,NA,7319.1635,14660,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.011674239,0.032327854,0.63809511,2.470887433,3.549154264,7.0925289
13,HI,FX,Waiakea,4,167,169,CAEQ,LN,19.644323,-155.083672,5/28/16,0,3.7,69.85,NA,NA,NA,NA,,0,1,7/11/16,44,6.1,90.17,NA,NA,NA,NA,,0,1,6/25/17,393,26.5,210,NA,60,47,95,,0,1,1/1/18,NA,26.1,485.2,6/22/18,755,52,280,NA,124,102,NA,,0,1,19.23249918,508.8404729,0.57423,570.9,-29.07,NA,1/14/19,961,58,325,NA,238,178,NA,,0,1,7/16/19,1144,78.55,340,NA,242,293,NA,,0,1,15.67776035,480.0570115,0.47701,303.67,-28.81,7/16/19,,1193.3,373.1,576.8,237.5,NA,1.9,2382.584489,5061,NA,1,,0.009150961,0.024730888,0.23302057,1.06681876,2.082552754,3.700872867
14,HI,FX,Waiakea,5,179,181,CAEQ,LN,19.644323,-155.083672,5/28/16,0,4,67.31,NA,NA,NA,NA,,0,1,7/11/16,44,6.2,81.28,NA,NA,NA,NA,,0,1,6/25/17,393,29,264,NA,89,77,95,,0,1,1/1/18,NA,24.6,499.7,6/22/18,755,71,460,NA,206,257,NA,,0,1,17.36975782,502.0128502,0.47573,300.2,-29.78,NA,1/14/19,961,80.90117428,520,NA,350,300,NA,,0,1,7/16/19,1144,108.6,640,NA,458,347,NA,,0,1,18.44608912,490.0996193,0.39707,84.34,-28.71,7/16/19,Aboveground wet weight 21.46 kg,NA,NA,NA,NA,NA,NA,10769.3207,21460,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.010054457,0.023373454,0.413240064,3.516836356,5.693322769,10.60495887
15,HI,FX,Waiakea,6,191,193,CAEQ,LN,19.644323,-155.083672,1/17/16,0,2.9,34,NA,NA,NA,NA,,0,1,7/11/16,176,5.4,60.96,NA,NA,NA,NA,,0,1,6/25/17,525,19.5,149,NA,42,36,90,,0,1,1/1/18,NA,13.9,478.3,6/22/18,887,22,195,NA,30,46,NA,Diameter and height plateau and canopy area drops,0,0,13.95329198,472.301519,0.95171,1613.5,-29.95,NA,1/14/19,1093,22,204,NA,50,49,NA,Diameter and height plateau and canopy area drops,0,0,7/16/19,1276,24.8,198,NA,40,35,NA,Diameter and height plateau and canopy area drops,0,0,13.13875174,460.202405,0.42485,160.51,-29.82,7/16/19,,64.4,51.8,36.5,5.2,NA,NA,157.8625,334,NA,1,,0.003517328,0.014953022,0.105315481,0.137209421,0.174756447,0.16015811
16,HI,FX,Waiakea,7,203,205,CAEQ,LN,19.644323,-155.083672,1/17/16,0,3,33,NA,NA,NA,NA,,0,1,7/11/16,176,16.6,190.5,NA,NA,NA,NA,,0,1,6/25/17,525,56.5,415,NA,96,99,82.5,,0,1,1/1/18,NA,NA,NA,6/22/18,887,109,510,NA,173,157,NA,,0,1,22.12836213,494.3730747,0.43834,197.5,-30.25,NA,1/14/19,1093,91.38927727,560,NA,315,260,NA,Diameter drops,0,1,7/16/19,1276,114.5,590,NA,398,277,NA,,0,1,13.26786596,475.4352512,0.38246,44.27,-29.13,7/16/19,Twig and leaf masses seem too low; maybe entered incorrectly into spreadsheet?,4206.5,38.1,55.5,1125.6,NA,NA,5425.611399,10520.901,NA,0,"twig and leaf masses seem way too low, so don't use for allometry",0.003624654,0.218385624,1.329815321,4.804332297,6.247597,9.377988995
17,HI,FX,Waiakea,8,215,217,CAEQ,LN,19.644323,-155.083672,1/17/16,0,2.2,35.5,NA,NA,NA,NA,,0,1,7/11/16,176,5.9,74.93,NA,NA,NA,NA,,0,1,6/25/17,525,13.5,99,NA,39,39,80,,0,1,1/1/18,NA,12.4,491.4,6/22/18,887,25,127,NA,66,69,NA,,0,1,9.911119691,501.2390053,1.14024,2137.2,-31.36,NA,1/14/19,1093,25,138,NA,99,91,NA,,0,1,7/16/19,1276,26.5,136,NA,109,96,NA,"Diameter and height and canopy area were entered incorrectly on the initial sheet: Diameter and height were averaged to get diameter, length was height, and width was length; no fixed on this sheet",0,1,10.44513126,475.694646,0.97799,1686.38,-30.74,7/16/19,Average wet:dry ratio for CAEQ used for leaf dry weight; also adding in leaf subsample from July 2019 Harvest datasheet,161.1,39.3,45,0,NA,50.3,304.5,NA,NA,0,"0.6 means use for allometry, but not for wet:dry because there aren't wet mass data for twigs and leaves",0.002349721,0.020259208,0.054006199,0.194080507,0.263222337,0.295566356
18,HI,FX,Waiakea,9,227,229,CAEQ,LN,19.644323,-155.083672,1/17/16,0,3.3,34,NA,NA,NA,NA,,0,1,7/11/16,176,11.9,152.4,NA,NA,NA,NA,,0,1,6/25/17,525,58,510,NA,218,222,90,,0,1,1/1/18,NA,24.3,497,6/22/18,887,77,520,NA,292,320,NA,Height plateaus and diameter slows,0,1,18.88825412,486.577926,0.36784,4.2,-31.9,NA,1/14/19,1093,78.46018098,560,NA,430,402,NA,Diameter plateaus but height and canopy area increase,0,1,7/16/19,1276,82.3,600,NA,402,333,NA,Height and diameter increase but canopy area decreases,0,1,20.29777117,469.1957523,0.36788,4.31,-30.84,7/16/19,Not harvested; No 15N,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,0.004316215,0.108013358,2.850304961,5.142949281,6.916695106,6.919478651
19,HI,FX,Waiakea,1,134,136,CAEQ,MN,19.644323,-155.083672,5/28/16,0,6.5,91.44,NA,NA,NA,NA,,0,1,7/11/16,44,9.3,102.87,NA,NA,NA,NA,,0,1,6/25/17,393,38,317,NA,108,103,95,,0,1,1/1/18,NA,18.7,497,6/22/18,755,74,510,NA,241,287,NA,,0,1,19.01281472,498.4685773,0.65815,802,-29.52,NA,1/14/19,961,99.91996797,615,NA,340,360,NA,,0,1,7/16/19,1144,139.9,690,NA,362,375,NA,,0,1,18.79206969,493.3882154,0.52398,432.73,-28.22,7/16/19,,9338.5,2856.3,5527.5,1664.5,NA,48.9,19435.73914,40087,NA,1,,0.027653122,0.053541146,0.757152933,4.335351778,8.519857705,14.05278269
20,HI,FX,Waiakea,2,146,148,CAEQ,MN,19.644323,-155.083672,5/28/16,0,2.8,74.93,NA,NA,NA,NA,,0,1,7/11/16,44,5.1,83.82,NA,NA,NA,NA,,0,1,6/25/17,393,29,215,NA,63,25,90,apical meristems shriveled,0.5,1,1/1/18,NA,22.1,486.7,6/22/18,755,51,290,NA,119,107,NA,,0,1,22.0892335,499.5384561,1.08481,1983,-29.91,NA,1/14/19,961,63,370,NA,283,255,NA,,0,1,7/16/19,1144,82.8,470,NA,283,278,NA,,0,1,17.68592643,476.0768298,0.83126,1279.97,-29.68,7/16/19,,1831.1,613.5,641,483,NA,61.9,3630.567028,7284,NA,1,,0.006221227,0.017577059,0.210997661,1.067161476,3.023225016,4.947660529
21,HI,FX,Waiakea,3,158,160,CAEQ,MN,19.644323,-155.083672,5/28/16,0,3.2,60.96,NA,NA,NA,NA,,0,1,7/11/16,44,5.4,71.12,NA,NA,NA,NA,,0,1,6/25/17,393,29,265,NA,116,79,85,,0,1,1/1/18,NA,NA,NA,6/22/18,755,58,370,NA,155,188,NA,,0,1,20.26976196,494.6580846,0.89301,1450.9,-29.4,NA,1/14/19,961,67,435,NA,250,265,NA,,0,1,7/16/19,1144,98.35,490,NA,305,296,NA,,0,1,16.36311881,476.2433244,0.64792,773.81,-28.89,7/16/19,Aboveground wet weight 11.36 kg,NA,NA,NA,NA,NA,NA,5652.1368,11360,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.00652776,0.016894774,0.461888218,1.952433269,3.45939969,6.530864132
22,HI,FX,Waiakea,4,170,172,CAEQ,MN,19.644323,-155.083672,1/17/16,0,2.2,27,NA,NA,NA,NA,,0,1,7/11/16,176,6.8,19.685,NA,NA,NA,NA,,0,1,6/25/17,525,24,106,NA,70,74,92.5,,0,1,1/1/18,NA,19.15,494.35,6/22/18,887,51,285,NA,188,188,NA,,0,1,18.38445319,505.7772551,0.6503,780.4,-30.86,NA,1/14/19,1093,65,400,NA,253,245,NA,,0,1,7/16/19,1276,79.8,460,NA,303,272,NA,,0,1,16.99466407,496.2056825,0.71083,947.28,-30.28,7/16/19,Aboveground wet weight 17.86 kg,NA,NA,NA,NA,NA,NA,8940.5643,17860,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.001891789,0.008800437,0.17468126,1.549669414,3.100310399,4.761392709
23,HI,FX,Waiakea,5,182,184,CAEQ,MN,19.644323,-155.083672,5/28/16,0,1.7,48.26,NA,NA,NA,NA,,0,1,7/11/16,44,3,63.5,NA,NA,NA,NA,,0,1,6/25/17,393,20,224,NA,67,75,80,,0,1,1/1/18,NA,NA,NA,6/22/18,755,44,330,NA,264,150,NA,,0,1,17.99028612,500.2718589,0.89375,1452.9,-29.09,NA,1/14/19,961,54,350,NA,310,285,NA,,0,1,7/16/19,1144,72.25,390,NA,364,302,NA,,0,1,15.09147654,488.3060333,0.65345,789.05,-28.63,7/16/19,Aboveground wet weight 7.74 kg,NA,NA,NA,NA,NA,NA,3831.1467,7740,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.001991902,0.006087052,0.216193719,1.482397297,2.635826125,4.28699109
24,HI,FX,Waiakea,6,194,196,CAEQ,MN,19.644323,-155.083672,5/28/16,0,3.7,62.23,NA,NA,NA,NA,,0,1,7/11/16,44,5.1,71.12,NA,NA,NA,NA,,0,1,6/25/17,393,20.5,170,NA,66,55,85,,0,1,1/1/18,NA,27.4,492.4,6/22/18,755,43,255,NA,127,137,NA,,0,1,21.80463666,496.8439658,0.97662,1682.6,-29.54,NA,1/14/19,961,48,273,NA,180,10,NA,"Height and diameter slow, canopy area decreases",0,0,7/16/19,1144,54.7,280,NA,230,208,NA,,0,1,15.62897272,452.5992561,0.82334,1258.07,-29.52,7/16/19,,648.7,253,366,157.5,NA,15.2,1440.43032,3115,NA,1,,0.008350905,0.015432301,0.167585154,0.911232027,0.460358939,1.86515025
25,HI,FX,Waiakea,7,206,208,CAEQ,MN,19.644323,-155.083672,5/28/16,0,2.2,30.48,NA,NA,NA,NA,,0,1,7/11/16,44,2.5,36.83,NA,NA,NA,NA,,0,1,6/25/17,393,24.5,164,NA,136,143,87.5,,0,1,1/1/18,NA,NA,NA,6/22/18,755,62,520,NA,333,297,NA,,0,1,17.37512482,499.933415,0.69096,892.5,-31.8,NA,1/14/19,961,71.20393248,670,NA,545,525,NA,,0,1,7/16/19,1144,96.95,840,NA,625,628,NA,,0,1,17.73100281,481.2965021,0.56421,543.36,-30.45,7/16/19,Aboveground wet weight 32.74 kg,NA,NA,NA,NA,NA,NA,16523.8187,32740,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.002082446,0.002962168,0.379658526,4.076268102,8.285177306,15.28743807
26,HI,FX,Waiakea,8,218,220,CAEQ,MN,19.644323,-155.083672,1/17/16,0,1.2,27,NA,NA,NA,NA,,0,1,7/11/16,176,17.4,190.5,NA,NA,NA,NA,,0,1,6/25/17,525,38,271,NA,150,176,95,,0,1,1/1/18,NA,13.7,465,6/22/18,887,54,300,NA,193,226,NA,,0,1,13.92444553,504.3132912,0.60604,658.5,-30.72,NA,1/14/19,1093,55.31726674,305,NA,320,275,NA,Height and diameter plateau,0,1,7/16/19,1276,71.9,310,NA,312,344,NA,,0,1,14.4262011,466.1494452,0.60164,646.36,-30.76,7/16/19,Aboveground wet weight 5.5 kg,NA,NA,NA,NA,NA,NA,2709.8807,5500,NA,0.5,"0.5 means use for allometry, but estimated total dry agb from total wet agb using power fit dry = 0.4386944*wet^1.0135; This came from regressing log(dry) on log(wet) from the CE trees where we had both; the R^2 was 0.9988, so not worrying about error propagation; did this because we only had wet mass",0.000724246,0.235290178,0.9554355,1.847767676,2.497630921,3.693128149
