Counter,Location,PID,Species,Treatment,Date_04,Use_growth_04,foliar_N_mg_g_04,Date_05,Use_growth_05,foliar_N_mg_g_05,Date_06,Use_growth_06,foliar_N_mg_g_06,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_06,Biomass_est_kg_04,Biomass_est_kg_05,Biomass_est_kg_06,Ndfa_u_04,Ndfa_u_05,Ndfa_u_06,Biomass_g_N_04,Biomass_g_N_05,Biomass_g_N_06,Nfix_g_N_u_04,Nfix_g_N_u_05,Nfix_g_N_u_06,Nfix_g_N_yr_u_04,Nfix_g_N_yr_u_05,Nfix_g_N_yr_u_06,Nfix_g_N_yr_u_04_05,Nfix_g_N_yr_u_05_06,Nfix_g_N_kg_biomass_yr_u_04,Nfix_g_N_kg_biomass_yr_u_05,Nfix_g_N_kg_biomass_yr_u_06,Nfix_g_N_kg_biomass_yr_u_04_05,Nfix_g_N_kg_biomass_yr_u_05_06,Nfix_g_N_g_biomass_N_yr_u_04,Nfix_g_N_g_biomass_N_yr_u_05,Nfix_g_N_g_biomass_N_yr_u_06,Nfix_g_N_g_biomass_N_yr_u_04_05,Nfix_g_N_g_biomass_N_yr_u_05_06
11,OR,77,ALRU,LN,10/4/18,1,30.91633988,9/25/19,1,27.51929271,9/22/20,1,20.51929201,0.903106747,2.673636185,6.735185039,0.988775159,2.537656817,6.330652618,90.09776096,91.74728422,96.32313109,10.25439652,20.01356769,48.42425905,9.238981668,18.36190483,46.64376253,3.079660556,4.590476208,9.328752505,8.953774508,27.36606748,3.114621689,1.808942871,1.473584647,3.528363035,4.322787734,0.30032587,0.229368211,0.192646262,0.447385226,0.565131362
12,OR,78,PSME,LN,10/4/18,1,17.48983041,9/25/19,1,15.12933008,9/22/20,1,16.06887449,3.194083371,6.645447479,15.52994953,3.700792931,7.40637108,16.99347549,NA,NA,NA,43.11544975,79.04821122,195.4854498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,OR,79,ALRU,LN,10/4/18,1,22.554113,9/25/19,1,26.34966276,9/22/20,1,25.12535153,4.06234079,8.301062273,20.17712703,3.812459579,6.892948183,16.81720285,98.39467074,94.93460166,98.65475797,41.5092149,69.74389178,167.6548837,40.84285533,66.21108585,165.3995197,13.61428511,16.55277146,33.07990394,26.80447803,96.59385205,3.570997889,2.401406629,1.967027706,3.888681203,5.743752568,0.327982236,0.237336504,0.197309516,0.384327249,0.576146963
14,OR,80,PSME,LN,10/4/18,1,18.72194727,9/25/19,1,16.40992224,9/22/20,1,15.40165902,4.736311055,8.991284681,24.72416432,5.412321202,10.03155089,27.67653074,NA,NA,NA,67.83760729,115.9696851,307.9641076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,OR,81,ALRU,MN,10/4/18,1,30.25352862,9/25/19,1,30.02715072,9/22/20,1,20.97131134,1.589363162,4.897226678,14.2952766,1.530660561,4.086003299,10.39521401,77.00487847,81.05549817,76.62114646,18.34345674,37.445056,99.65404867,14.12535657,30.35127668,76.35607458,4.708452191,7.58781917,15.27121492,15.48289643,47.66524338,3.076091663,1.857027177,1.469062099,3.789252064,4.585306598,0.256682928,0.202638745,0.153242293,0.413483063,0.478307144
16,OR,82,PSME,MN,10/4/18,1,21.96030489,9/25/19,1,15.65500885,9/22/20,1,14.78992322,2.320221816,5.602655321,14.00292262,2.731809784,6.478910397,16.04177692,NA,NA,NA,38.68686328,70.55461305,170.4905643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,OR,83,ALRU,PHN,10/4/18,0,25.44508101,9/25/19,0,26.03275015,9/22/20,0,27.98396134,0.096635249,0.076762699,0.182554988,0.117221263,0.115402566,0.258178813,-108.446774,78.10108393,85.08395067,1.420083289,1.129709171,3.234908239,-1.540034515,0.882315108,2.752387731,-0.513344838,0.220578777,0.550477546,-0.226785334,1.791186537,-4.379280902,1.911385375,2.132156159,-1.965167168,6.937775088,-0.361489247,0.19525271,0.170167901,-0.200746652,0.553705516
18,OR,84,PSME,PHN,10/4/18,1,20.4757662,9/25/19,1,17.34201153,9/22/20,1,19.54577069,3.267855779,4.888092281,15.40747893,3.916436377,5.567181397,17.62214025,NA,NA,NA,52.58671173,66.93230954,239.9071758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,OR,85,ALRU,LN,10/4/18,1,29.14364412,9/25/19,1,22.44295301,9/22/20,1,19.3673329,1.573641717,4.196142095,10.33459637,1.438042391,3.443978191,8.401062977,98.91432617,98.71101316,99.65088902,19.16708303,31.60403038,75.77695592,18.95899103,31.19665859,75.51241025,6.319663676,7.799164647,15.10248205,12.27663674,44.01871301,4.394629613,2.26458015,1.797687042,3.564667386,5.239659925,0.329714421,0.246777533,0.199301778,0.388451618,0.580898407
20,OR,86,PSME,LN,10/4/18,1,13.50791746,9/25/19,1,12.04134049,9/22/20,1,16.67104238,4.32624693,7.295754197,17.08638656,5.03068882,8.278693493,19.23728597,NA,NA,NA,47.84439719,73.15763536,228.152088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,OR,87,ALRU,PHN,10/4/18,1,29.00715001,9/25/19,1,22.10086667,9/22/20,1,27.2060015,1.248191366,2.421113058,8.702394398,1.431060279,2.43031357,8.049760656,71.40361363,51.28933244,50.06828573,12.64753847,18.09405822,67.10561907,9.030799503,9.280321672,33.5986331,3.010266501,2.320080418,6.719726619,2.793483621,24.53924833,2.103521805,0.954642416,0.834773468,1.149433413,3.048444466,0.238012045,0.128223331,0.100136571,0.154386793,0.365680977
22,OR,88,PSME,PHN,10/4/18,1,18.68900087,9/25/19,1,17.66192687,9/22/20,1,21.58466966,3.060805371,5.096365614,13.94088612,3.529474623,5.868169947,15.89871404,NA,NA,NA,43.85725906,70.95872321,235.6291018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,OR,89,ALRU,MN,10/4/18,1,24.52938507,9/25/19,1,27.37753765,9/22/20,1,27.18124206,1.583699586,3.206662234,6.735054433,1.38238829,2.619342728,6.227395748,84.24196938,67.07651773,73.33287288,15.50499907,25.87825283,61.94121797,13.06171657,17.35823085,45.42327463,4.353905523,4.339557712,9.084654927,6.958017399,26.44600838,3.149553244,1.656735358,1.458820877,2.656398235,4.246720371,0.280806565,0.167691294,0.146665746,0.268875084,0.426953316
24,OR,90,PSME,MN,10/4/18,1,17.88977036,9/25/19,1,16.84032506,9/22/20,1,16.36710263,2.738623212,4.160991032,10.60656746,3.264375655,4.840026965,12.35270285,NA,NA,NA,38.45252133,55.68788946,140.4557244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,OR,91,ALRU,HN,10/4/18,1,26.4886434,9/25/19,1,26.59714267,9/22/20,1,17.12118698,2.708802516,6.763860856,15.07745509,2.340937278,5.198850291,11.63359413,58.08160749,73.24587525,37.72051536,33.09722479,56.39230576,109.0179126,19.22340019,41.30503793,41.12211847,6.407800064,10.32625948,8.224423694,17.06268595,19.85065011,2.737279689,1.986258289,0.70695467,3.282011406,1.706321356,0.193605358,0.183114688,0.075441031,0.30257117,0.182086133
26,OR,92,PSME,HN,10/4/18,1,17.3119584,9/25/19,1,16.65388593,9/22/20,1,16.99454205,5.051470413,6.953281854,18.64209401,5.927416103,7.940336653,21.26533077,NA,NA,NA,69.71496422,91.94117929,255.5307808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,OR,93,ALRU,HN,10/4/18,1,29.351098,9/25/19,1,22.72068155,9/22/20,1,17.44465533,2.899974417,7.10051509,18.62521999,3.012750347,6.630893015,16.52390671,55.58506042,66.62663087,60.671252,27.38696549,50.08664411,161.6209076,15.22306131,33.37104349,98.05742815,5.074353771,8.342760872,19.61148563,15.12403108,67.66923408,1.684292818,1.258165507,1.186855262,2.280843779,4.095232155,0.185283535,0.166566577,0.121342504,0.301957365,0.418691091
28,OR,94,PSME,HN,10/4/18,1,15.84472797,9/25/19,1,15.67856616,9/22/20,1,17.17328968,3.692385739,6.603696113,14.42208336,4.292646593,7.56034273,16.27986616,NA,NA,NA,46.06954726,82.75547723,197.2558902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,OR,95,ALRU,PHN,10/4/18,1,29.12074229,9/25/19,1,26.69294378,9/22/20,1,18.69699719,6.532409568,13.38817028,31.44411503,6.288259536,11.63769628,26.73535174,43.56075374,55.6091924,16.09262601,65.72039766,102.9664903,266.7631178,28.62830058,57.25883371,42.92919089,9.54276686,14.31470843,8.585838178,20.71225133,26.35917868,1.517552958,1.230029388,0.32114177,1.779755274,0.985929751,0.145202512,0.139022981,0.032185252,0.201155262,0.098811181
30,OR,96,PSME,PHN,10/4/18,1,19.8190439,9/25/19,1,18.53198268,9/22/20,1,18.1368123,5.807634482,9.349747795,23.1878371,6.744114307,10.48318469,25.81703726,NA,NA,NA,89.2031321,134.5449363,332.0237425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,OR,97,ALRU,HN,10/4/18,1,30.18860587,9/25/19,1,25.11437513,9/22/20,1,18.39982047,2.515368081,5.482109852,12.62092843,2.312045311,4.518557446,10.13045884,37.05843633,46.18653646,58.86104784,29.91608532,44.06403183,90.01046606,11.08643343,20.35165013,52.98110349,3.695477811,5.087912531,10.5962207,6.534446472,27.04455263,1.598358732,1.126003728,1.045976383,1.446135531,2.669627611,0.123528121,0.115466341,0.117722096,0.148294339,0.300460089
32,OR,98,PSME,HN,10/4/18,1,19.04515711,9/25/19,1,15.95028946,9/22/20,1,18.43498787,6.69728249,9.755896584,22.86530294,7.747203139,11.11958141,25.95187778,NA,NA,NA,99.28001377,124.8731277,336.0367324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,OR,99,ALRU,MN,10/4/18,1,23.9945333,9/25/19,1,26.63481067,9/22/20,1,26.42824307,1.53057521,2.748691331,6.114823481,1.571030604,2.575142565,5.195701864,66.40241927,76.60507614,84.72537004,12.69242224,20.36786561,45.436527,8.428075431,15.60281896,38.49626563,2.809358477,3.900704741,7.699253127,5.879779241,21.23951612,1.788226448,1.514752928,1.481850446,2.283283,4.087901246,0.221341398,0.19151269,0.16945074,0.288679204,0.467454657
34,OR,100,PSME,MN,10/4/18,1,17.44318822,9/25/19,1,18.03634962,9/22/20,1,15.23942463,5.501258953,9.110391006,23.23168592,6.406112735,10.31674555,26.71215762,NA,NA,NA,75.57589509,128.8003529,291.2973012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,OR,101,ALRU,HN,10/4/18,1,32.04976073,9/25/19,1,31.15820481,9/22/20,1,17.48060288,2.525475299,8.256026889,19.99389564,2.604088537,6.604210605,15.89137306,38.5193254,48.62699165,35.90399644,34.46386595,66.61939032,136.3816373,13.27524867,32.39500537,48.96645819,4.42508289,8.098751342,9.793291637,15.63626415,25.04743466,1.699282811,1.226301193,0.616264661,2.36762046,1.576165544,0.128397751,0.121567479,0.071807993,0.234710406,0.183656944
36,OR,102,PSME,HN,10/4/18,1,19.99699297,9/25/19,1,18.70662271,9/22/20,1,17.42267119,5.806528509,10.66574467,26.20598306,6.677341766,11.86734728,29.3414947,NA,NA,NA,89.39978656,154.4934241,363.7487074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,OR,103,ALRU,HN,10/4/18,1,25.4113249,9/25/19,1,22.73839717,9/22/20,1,24.22053839,2.731441999,5.16965932,12.30153787,2.802421566,4.767575396,10.71347749,77.25348318,65.24836048,80.42224745,28.18601552,40.86964652,103.6647828,21.77467876,26.66677428,83.36954813,7.258226254,6.666693571,16.67390963,8.275861272,50.50125988,2.589983728,1.39834046,1.556348967,1.735863743,4.713806505,0.257511611,0.163120901,0.160844495,0.202494075,0.48715927
38,OR,104,PSME,HN,10/4/18,1,19.76007384,9/25/19,1,19.14078631,9/22/20,1,18.21531936,4.692727088,9.107429042,23.96365959,5.430356785,10.2991463,26.93201651,NA,NA,NA,71.37802351,135.2415674,346.5336166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,OR,105,ALRU,LN,10/4/18,1,29.85613307,9/25/19,1,29.1463416,9/22/20,1,30.63069053,1.407889469,4.576174065,11.78006899,1.35801868,3.90624457,9.687034336,98.22130566,97.20545495,99.32144242,15.83452095,34.10986519,104.3009075,15.55287322,33.15664964,103.5931658,5.184291075,8.289162411,20.71863317,17.76463151,69.71475571,3.817540326,2.122028527,2.138800426,4.547751989,7.196707815,0.327404352,0.243013637,0.198642885,0.520806266,0.668400279
40,OR,106,PSME,LN,10/4/18,1,15.51859859,9/25/19,1,16.26634901,9/22/20,1,14.44091421,6.833366506,9.792199728,23.45100829,7.982117111,11.09556938,26.03463286,NA,NA,NA,86.00727242,127.3724616,276.2984883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,OR,107,ALRU,HN,10/4/18,1,31.50318987,9/25/19,1,28.48615685,9/22/20,1,29.3857008,1.432210481,4.206283071,14.70586894,1.362124073,3.456091624,11.82035477,63.98257403,52.61973081,47.52448313,18.20678377,32.91509331,136.783677,11.6491689,17.3198335,65.00573551,3.883056301,4.329958374,13.0011471,7.739472886,49.36300754,2.850736125,1.252848259,1.09989483,2.239371443,4.176102029,0.213275247,0.131549327,0.095048966,0.235134466,0.360883759
42,OR,108,PSME,HN,10/4/18,1,17.85779059,9/25/19,1,16.33125812,9/22/20,1,15.66486282,4.159044287,7.552804044,17.73889974,4.794015794,8.524411021,20.07723493,NA,NA,NA,57.82878078,97.44539337,225.2189004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,OR,109,ALRU,MN,10/4/18,1,26.28038191,9/25/19,1,23.06010216,9/22/20,1,20.1777635,1.957878287,3.706365856,7.869710371,2.149072638,3.788965365,7.76875345,70.80491561,43.35933593,4.103858387,17.87856066,27.65102386,70.61385365,12.65889978,11.98930033,2.897892556,4.219633261,2.997325081,0.579578511,4.237275151,1.763133694,1.963467026,0.791066899,0.074603798,1.118319843,0.226951943,0.236016385,0.10839834,0.008207717,0.153241166,0.024968666
44,OR,110,PSME,MN,10/4/18,1,19.31472539,9/25/19,1,17.21531703,9/22/20,1,17.38576735,3.108776045,5.903668816,13.35486073,3.676207467,6.834364823,15.20160783,NA,NA,NA,46.91083905,80.75014885,185.8910998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,OR,111,ALRU,HN,10/4/18,1,27.31103719,9/25/19,1,28.4818832,9/22/20,1,22.08140804,0.8239868,1.845885226,10.25647175,0.919789903,1.7642644,10.24134184,82.8022493,82.48364252,77.06890084,7.722314397,13.82841032,76.36430672,6.394250019,11.40617654,58.85313182,2.131416673,2.851544134,11.77062636,5.036530335,48.19572798,2.317286443,1.616279359,1.149324625,2.854748038,4.705997391,0.276007498,0.206209106,0.154137802,0.364216148,0.631128993
46,OR,112,PSME,HN,10/4/18,1,18.46759511,9/25/19,1,17.08911516,9/22/20,1,15.32791447,2.787235648,5.511082757,11.21675405,3.322847308,6.369705855,12.64570066,NA,NA,NA,40.31609482,74.38160049,136.9711812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,OR,113,ALRU,PHN,10/4/18,1,30.40036601,9/25/19,1,24.39554676,9/22/20,1,26.2123457,0.832507569,1.595971919,4.983829199,0.894750033,1.541268505,4.315043779,60.5511225,54.1745783,57.51731084,8.566560462,12.22944061,41.07922152,5.187148519,6.62524788,23.62766353,1.729049506,1.65631197,4.725532706,1.984349875,16.59361816,1.932438606,1.074642066,1.095129725,1.287478378,3.845527186,0.201837075,0.135436446,0.115034622,0.162260069,0.403941885
48,OR,114,PSME,PHN,10/4/18,1,20.98356604,9/25/19,1,20.96543698,9/22/20,1,18.33679433,5.594665761,9.55130267,23.12948018,6.513800845,10.83461986,25.83636727,NA,NA,NA,90.6183174,155.1309866,334.9901124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,OR,115,ALRU,PHN,10/4/18,1,32.33828903,9/25/19,1,27.36416918,9/22/20,1,25.47004653,0.877175086,2.400194183,6.038152267,0.95967378,2.388619805,5.468736643,81.62658505,64.79294039,79.14784703,9.938660115,18.28196783,47.77779491,8.112588851,11.84542452,37.81509603,2.704196284,2.96135613,7.563019207,5.405874395,23.3453121,2.817828662,1.239777098,1.382955461,2.26317909,4.268867496,0.272088617,0.161982351,0.158295694,0.295694339,0.488622636
50,OR,116,PSME,PHN,10/4/18,1,23.61044785,9/25/19,1,20.23006695,9/22/20,1,21.08970921,3.305139711,6.170747453,14.94054314,3.96444209,7.207266929,17.1436638,NA,NA,NA,59.58246158,97.78809958,248.6359934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,OR,117,ALRU,PHN,10/4/18,1,27.17905886,9/25/19,1,18.82585311,9/22/20,1,21.17983382,5.144326112,10.35050707,19.13703031,4.866675799,9.333284807,17.11878153,54.02615809,58.96093309,74.49082168,53.10290742,75.32968561,148.8890288,28.68946071,44.41508553,110.9086609,9.56315357,11.10377138,22.18173219,13.10511582,54.79495915,1.965027868,1.189695977,1.295754149,1.404126853,3.20086795,0.180087194,0.147402333,0.148981643,0.173970138,0.368025499
52,OR,118,PSME,PHN,10/4/18,1,21.36970636,9/25/19,1,19.29715098,9/22/20,1,19.60384448,4.055330502,8.113777499,17.97168005,4.864566801,9.442748142,20.40908496,NA,NA,NA,67.60744121,123.9403811,278.6210892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,OR,119,ALRU,LN,10/4/18,1,27.89508805,9/25/19,1,28.68677612,9/22/20,1,25.95380021,0.501532445,1.112217331,3.163028572,0.485068024,0.957329521,2.540496666,94.8013368,92.65955278,97.56752078,4.836213682,8.435741078,23.29875916,4.584795221,7.816519957,22.73202168,1.528265074,1.954129989,4.546404336,3.335305988,14.50147825,3.150620115,2.041230262,1.789573038,3.483968597,5.708127251,0.316004456,0.231648882,0.195135042,0.395377947,0.622414188
54,OR,120,PSME,LN,10/4/18,1,12.70960006,9/25/19,1,14.03581861,9/22/20,1,12.26777688,5.01490012,8.748634039,16.67473478,5.86370484,9.981813394,18.98541818,NA,NA,NA,52.99669793,100.3220419,172.2913452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,OR,121,ALRU,MN,10/4/18,1,30.293414,9/25/19,1,17.52560987,9/22/20,1,16.85100034,1.68993745,4.49720346,6.864468963,1.72516313,4.019659804,6.037568781,73.90201575,72.9164369,66.71971706,19.63399089,31.33909711,48.58711594,14.50991504,22.85135297,32.41718628,4.836638346,5.712838242,6.483437256,8.534946395,11.50782936,2.803583187,1.421224313,1.07384901,2.12330068,1.906036979,0.246340053,0.182291092,0.133439434,0.272341809,0.236849402
56,OR,122,PSME,MN,10/4/18,1,16.63659098,9/25/19,1,15.04048599,9/22/20,1,13.45386247,3.100342338,5.770231733,13.70845642,3.642097045,6.603783983,15.52420391,NA,NA,NA,40.75052487,69.74265899,152.3940442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,OR,123,ALRU,PHN,10/4/18,1,23.91996306,9/25/19,1,23.82502662,9/22/20,1,20.57411827,4.889353535,11.63934975,28.87675017,4.554869983,9.60689084,23.78132654,28.85088672,33.50751515,36.4335605,53.86559103,92.7936262,209.1250274,15.54070065,31.09283836,76.19169337,5.180233549,7.77320959,15.23833867,13.04381728,42.38367143,1.137295591,0.809128543,0.640769078,1.357756375,1.782224863,0.096169622,0.083768788,0.072867121,0.140568031,0.202671445
58,OR,124,PSME,PHN,10/4/18,1,17.90950874,9/25/19,1,17.22389817,9/22/20,1,18.48236649,4.755657503,8.141505408,18.63866882,5.475434433,9.141621781,20.92561995,NA,NA,NA,66.35717901,110.5311495,273.3446789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,OR,125,ALRU,LN,10/4/18,1,20.02902281,9/25/19,1,21.36099716,9/22/20,1,18.67482163,2.010337253,3.027191725,8.284656682,2.02822071,2.871292213,7.642582629,88.06697753,90.35554916,94.18021272,20.13760122,26.90474467,63.74449113,17.73457674,24.30992979,60.03469734,5.91152558,6.077482448,12.00693947,6.114489623,34.69575158,2.914636238,2.116636691,1.571057855,2.129525374,4.539794107,0.293556592,0.225888873,0.188360425,0.227264362,0.544294118
60,OR,126,PSME,LN,10/4/18,1,15.41990769,9/25/19,1,15.70460936,9/22/20,1,17.18430793,5.880299051,9.492074089,24.54790896,6.873929857,10.62038528,27.89224813,NA,NA,NA,73.01408287,118.1081934,340.7457612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,OR,127,ALRU,MN,10/4/18,1,31.24532492,9/25/19,1,27.44397789,9/22/20,1,26.98203629,2.563793268,6.971684603,18.95785927,2.389039208,5.571708409,14.25651462,69.41617234,70.58407283,74.24478356,37.37150087,59.3414079,155.8501091,25.94186545,41.88558257,115.7105762,8.647288482,10.47139564,23.14211524,15.50725518,71.65267635,3.61956742,1.879386873,1.623265984,2.783213701,5.025960289,0.231387241,0.176460182,0.148489567,0.26132267,0.459753777
62,OR,128,PSME,MN,10/4/18,1,20.76869126,9/25/19,1,18.31879423,9/22/20,1,15.76867582,1.595328767,3.069045661,8.296217709,1.909388674,3.577174666,9.351416834,NA,NA,NA,25.12916637,43.68752826,103.8442004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
