Counter,Location,Block,Species,Treatment,Date_04,Use_growth_04,foliar_N_mg_g_04,Date_06,Use_growth_06,foliar_N_mg_g_06,Aboveground_mass_g_dry_06,AGB_est_kg_04,AGB_est_kg_06,Ndfa_u_04,Ndfa_u_06,AGB_g_N_04,AGB_g_N_06,Nfix_g_N_u_04,Nfix_g_N_u_06,Nfix_g_N_yr_u_04,Nfix_g_N_yr_u_06,Nfix_g_N_yr_u_04_06,Nfix_g_N_kg_biomass_yr_u_04,Nfix_g_N_kg_biomass_yr_u_06,Nfix_g_N_kg_biomass_yr_u_04_06,Nfix_g_N_g_biomass_N_yr_u_04,Nfix_g_N_g_biomass_N_yr_u_06,Nfix_g_N_g_biomass_N_yr_u_04_06
11,HI,2,CAEQ,LN,6/22/18,1,16.63796295,7/16/19,1,16.5670173,6806.326802,0.969387673,4.487965936,43.46870766,93.1710362,8.101574564,37.69856027,3.521649763,35.12413924,1.173883254,8.781034809,27.57581827,1.210953354,1.956573409,6.14439117,0.144895692,0.232927591,0.731482
12,HI,3,CAEQ,LN,6/22/18,1,20.04402918,7/16/19,1,15.17397842,7319.1635,2.470887433,7.0925289,89.25917098,93.52349565,23.78719763,67.73596035,21.2322554,63.34903793,7.077418467,15.83725948,41.10241919,2.864322499,2.232949588,5.795171197,0.29753057,0.233808739,0.60680352
13,HI,4,CAEQ,LN,6/22/18,1,19.23249918,7/16/19,1,15.67776035,2382.584489,1.06681876,3.700872867,81.75428436,84.5180327,9.75798459,31.22380686,7.97757047,26.38974729,2.659190157,6.597436824,18.14249069,2.492635353,1.782670484,4.902219379,0.272514281,0.211295082,0.581046724
14,HI,5,CAEQ,LN,6/22/18,1,17.36975782,7/16/19,1,18.44608912,10769.3207,3.516836356,10.60495887,88.21984315,95.99986133,27.47896399,89.32662465,24.24189893,85.7534358,8.080632977,21.43835895,59.37366847,2.297699455,2.02154098,5.59867032,0.294066144,0.239999653,0.664680533
15,HI,6,CAEQ,LN,6/22/18,0,13.95329198,7/16/19,0,13.13875174,157.8625,0.137209421,0.16015811,57.82135987,94.64416392,1.2666852,1.426165403,0.732414608,1.349782322,0.244138203,0.33744558,0.150938705,1.779310785,2.106952814,0.942435603,0.192737866,0.23661041,0.105835343
16,HI,7,CAEQ,LN,6/22/18,1,22.12836213,7/16/19,1,13.26786596,5425.611399,4.804332297,9.377988995,94.84467472,98.55926537,43.58682363,63.34686038,41.33978109,62.43420022,13.77992703,15.60855006,19.47534705,2.868229377,1.664381358,2.076708244,0.316148916,0.246398163,0.307439815
17,HI,8,CAEQ,LN,6/22/18,1,9.911119691,7/16/19,1,10.44513126,304.5,0.194080507,0.295566356,46.58393667,45.03293405,1.923977405,2.786440014,0.896264416,1.254815694,0.298754805,0.313703923,0.388392218,1.539334423,1.061365467,1.314060988,0.155279789,0.112582335,0.139386535
18,HI,9,CAEQ,LN,6/22/18,1,18.88825412,7/16/19,1,20.29777117,NA,5.142949281,6.919478651,NA,NA,43.20494331,61.88659457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,HI,1,CAEQ,MN,6/22/18,1,19.01281472,7/16/19,1,18.79206969,19435.73914,4.335351778,14.05278269,77.15906868,78.96730649,38.23178396,125.4677736,29.49928844,99.07852134,9.833096146,24.76963033,68.88791132,2.268119555,1.762613916,4.902083299,0.257196896,0.197418266,0.549048647
20,HI,2,CAEQ,MN,6/22/18,1,22.0892335,7/16/19,1,17.68592643,3630.567028,1.067161476,4.947660529,76.252863,48.39325503,10.65018617,41.84682133,8.121071869,20.25103897,2.707023956,5.062759742,15.09706722,2.536658244,1.023263361,3.051354701,0.25417621,0.120983138,0.360769749
21,HI,3,CAEQ,MN,6/22/18,1,20.26976196,7/16/19,1,16.36311881,5652.1368,1.952433269,6.530864132,60.05051424,68.74249071,17.65910778,53.8833518,10.60438504,37.04075811,3.534795012,9.260189527,24.90144758,1.810456249,1.417911832,3.812887097,0.200168381,0.171856227,0.462136203
22,HI,4,CAEQ,MN,6/22/18,1,18.38445319,7/16/19,1,16.99466407,8940.5643,1.549669414,4.761392709,67.87657365,62.89231631,14.44689112,39.92989831,9.806054691,25.11283794,3.268684897,6.278209486,16.02685348,2.109278835,1.318565779,3.366001182,0.226255246,0.157230791,0.401374763
23,HI,5,CAEQ,MN,6/22/18,1,17.99028612,7/16/19,1,15.09147654,3831.1467,1.482397297,4.28699109,67.41198858,62.27765955,13.70764946,36.49144324,9.240599086,22.72601678,3.080199695,5.681504196,14.18921352,2.077850318,1.325289481,3.30983042,0.224706629,0.155694149,0.388836732
24,HI,6,CAEQ,MN,6/22/18,1,21.80463666,7/16/19,1,15.62897272,1440.43032,0.911232027,1.86515025,72.459478,60.75225419,9.142600258,15.72802055,6.624680423,9.555127026,2.208226808,2.388781756,4.000791277,2.423341961,1.280744946,2.145023586,0.241531593,0.151880635,0.254373477
25,HI,7,CAEQ,MN,6/22/18,1,17.37512482,7/16/19,1,17.73100281,16523.8187,4.076268102,15.28743807,69.55751217,78.03361387,35.41845058,158.5145941,24.63619307,123.6946663,8.212064357,30.92366656,96.05636929,2.014603591,2.022815492,6.283352963,0.231858374,0.195084035,0.60597808
26,HI,8,CAEQ,MN,6/22/18,1,13.92444553,7/16/19,1,14.4262011,2709.8807,1.847767676,3.693128149,84.48425385,73.87919098,14.84814532,32.1394169,12.54434479,23.74434119,4.181448263,5.936085298,12.77465155,2.262972947,1.607332608,3.459032841,0.28161418,0.184697977,0.397476146
27,HI,9,CAEQ,MN,6/22/18,1,17.19759195,7/16/19,1,15.8358559,NA,5.560775586,13.81410325,NA,NA,51.68160447,124.7932724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,HI,1,CAEQ,PHN,6/22/18,1,23.59552771,7/16/19,1,19.28841927,3166.06651,0.565678702,2.849197081,-18.78244511,39.91594151,6.373327602,23.66061221,-1.197066759,9.444356132,-0.399022253,2.361089033,6.900382414,-0.705386735,0.828685755,2.421869115,-0.06260815,0.099789854,0.291640062
29,HI,2,CAEQ,PHN,6/22/18,1,14.21048614,7/16/19,1,17.77287945,8335.264799,2.136390468,7.302902456,75.00731573,52.12858819,14.92019845,62.16254781,11.19124036,32.40445856,3.730413452,8.101114639,24.62676975,1.746129047,1.109300677,3.372189332,0.250024386,0.13032147,0.396167316
30,HI,3,CAEQ,PHN,6/22/18,1,19.55950074,7/16/19,1,14.22445682,3640.5826,2.197887892,4.704556864,53.1174827,63.54740605,19.15064771,35.73561921,10.17234199,22.70905904,3.390780662,5.677264761,10.53931918,1.542745048,1.206758665,2.240236325,0.177058276,0.158868515,0.294924767
31,HI,4,CAEQ,PHN,6/22/18,1,24.69378991,7/16/19,1,23.94398715,3209.807,1.559794244,3.844857882,46.71243647,43.13497645,13.96388019,34.79165047,6.522868662,15.00737024,2.174289554,3.75184256,8.984053807,1.393959211,0.975807865,2.336641323,0.155708122,0.107837441,0.258224421
32,HI,5,CAEQ,PHN,6/22/18,1,16.97156062,7/16/19,1,15.48948736,4192.5569,2.113410372,7.133879291,78.15002642,73.09635624,17.84091952,63.99894085,13.94268332,46.78089379,4.647561105,11.69522345,33.7398317,2.199081242,1.639391833,4.72952097,0.260500088,0.182740891,0.527193595
33,HI,6,CAEQ,PHN,6/22/18,1,22.74015797,7/16/19,1,20.15636417,15532.46029,6.272098038,13.48635099,69.05558682,70.58839882,58.76370127,119.4908743,40.57961875,84.34669491,13.52653958,21.08667373,42.8663391,2.156621198,1.563556647,3.178497959,0.230185289,0.176470997,0.35874153
34,HI,7,CAEQ,PHN,6/22/18,1,14.15963109,7/16/19,1,13.97966436,6719.52946,5.84401696,9.415923956,68.53975787,66.0493381,37.14456164,58.88230147,25.45879261,38.89137038,8.486264203,9.722842594,14.35763327,1.452128606,1.032595701,1.524824684,0.22846586,0.165123345,0.243836143
35,HI,8,CAEQ,PHN,6/22/18,1,22.0292324,7/16/19,1,17.03237819,18000.62561,5.283711985,16.9886063,70.2680596,77.60048037,53.83518157,142.7136314,37.82893747,110.7464635,12.60964582,27.68661588,68.97010402,2.386512713,1.629716729,4.059785882,0.234226865,0.194001201,0.483276218
36,HI,9,CAEQ,PHN,6/22/18,1,22.1486898,7/16/19,1,17.17782212,5218.7046,1.782646055,4.327430295,-5.523073258,66.54194072,16.39788829,34.69735091,-0.905667383,23.08829068,-0.301889128,5.772072669,12.17681757,-0.169348888,1.333833771,2.813867986,-0.018410244,0.166354852,0.350943725
37,HI,1,GLSE,HN,6/22/18,1,45.87237357,7/16/19,1,31.04439592,1316.620885,0.47624032,2.268200619,85.97356636,65.52430046,4.650537801,23.33561644,3.998233202,15.29049943,1.332744401,3.822624858,12.24326707,2.79847032,1.685311619,5.397788436,0.286578555,0.163810751,0.524660109
38,HI,2,GLSE,HN,6/22/18,0,72.00034385,7/16/19,0,47.63677963,3.395265,0.005277415,0.004678547,44.18452209,79.1234432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,HI,3,GLSE,HN,6/22/18,0,36.11304119,7/16/19,0,35.27084367,42.5625,0.022075918,0.064969151,74.66837069,86.8858588,0.321723363,1.564811056,0.240225593,1.359599524,0.080075198,0.339899881,1.080067417,3.627264688,5.23171191,16.6243117,0.248894569,0.217214647,0.690222256
40,HI,4,GLSE,HN,6/22/18,0,36.63318157,7/16/19,0,29.84695729,31.447134,0.018279514,0.028421489,73.98651812,74.06747341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,HI,5,GLSE,HN,6/22/18,1,34.94455606,7/16/19,1,26.85072703,1891.820455,0.529108939,1.570964159,79.02690086,89.94735577,6.950942733,11.79877437,5.493114623,10.61268556,1.831038208,2.653171389,4.360496368,3.460607207,1.688880917,2.775681637,0.263423003,0.224868389,0.369571977
42,HI,6,GLSE,HN,6/22/18,1,38.11307934,7/16/19,1,33.18839851,2054.943788,0.589289753,1.812728838,87.00458669,94.62945001,15.26377882,33.6432768,13.28018767,31.8364478,4.426729225,7.95911195,17.39241785,7.511973867,4.390679832,9.594605376,0.290015289,0.236573625,0.516965632
43,HI,7,GLSE,HN,6/22/18,1,34.20618939,7/16/19,1,35.3724254,548.617522,0.151471797,0.531789061,71.49793196,89.02236763,2.915528698,11.20102403,2.084542725,9.971416791,0.694847575,2.492854198,7.375944115,4.587306605,4.687674833,13.87005611,0.23832644,0.222555919,0.658506231
44,HI,8,GLSE,HN,6/22/18,1,35.45057927,7/16/19,1,36.13421219,499.2333333,0.215084483,0.31336931,86.33715601,72.2049416,2.556186946,4.667179112,2.206939112,3.369933952,0.735646371,0.842483488,1.52424066,3.420267052,2.688468402,4.864039368,0.28779052,0.180512354,0.326587136
45,HI,9,GLSE,HN,6/22/18,1,31.39903915,7/16/19,1,29.2657958,NA,0.091070664,0.354876225,NA,NA,2.570673862,3.928119183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,HI,1,GLSE,LN,6/22/18,1,29.26919598,7/16/19,1,30.12371105,1125.515014,0.152351228,1.196844965,78.93164466,73.61575257,2.205525863,15.51871937,1.740857837,11.42422205,0.580285946,2.856055513,9.800607591,3.808869501,2.386320365,8.188702695,0.263105482,0.184039381,0.631534559
47,HI,2,GLSE,LN,6/22/18,0,34.71039084,7/16/19,0,35.23322078,9.848947121,0.005309379,0.007349559,-69.17273959,87.14107366,0.315088868,0.104248467,-0.217955602,0.090843233,-0.072651867,0.022710808,-0.183728589,-13.68368453,3.090091298,-24.99858686,-0.230575799,0.217852684,-1.762410467
48,HI,3,GLSE,LN,6/22/18,0,26.56673313,7/16/19,0,21.15413499,10.965161,0.011917145,0.0139149,60.35838877,40.0886414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,HI,4,GLSE,LN,6/22/18,1,29.34800943,7/16/19,1,27.21290022,159.06,0.038050417,0.169451512,87.35444582,84.8103036,1.082059464,2.137380009,0.945227048,1.812718475,0.315075683,0.453179619,0.895020559,8.280479097,2.674391118,5.281868235,0.291181486,0.212025759,0.418746575
50,HI,5,GLSE,LN,6/22/18,0,NA,7/16/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,HI,6,GLSE,LN,6/22/18,1,34.45692076,7/16/19,1,32.97385261,831.214396,0.124404836,0.748190065,94.93058007,98.70197585,2.246345364,14.83756923,2.132468685,14.644974,0.710822895,3.661243499,12.42778674,5.713788287,4.893467142,16.61046747,0.316435267,0.24675494,0.837589132
52,HI,7,GLSE,LN,6/22/18,0,26.56984957,7/16/19,0,26.29389216,13.4,0.012303402,0.009667591,58.00957499,70.10564793,0.372084839,0.323747787,0.215844834,0.226965484,0.071948278,0.056741371,-0.033887003,5.847836057,5.869235777,-3.505216873,0.19336525,0.17526412,-0.104670995
53,HI,8,GLSE,LN,6/22/18,0,23.59069304,7/16/19,0,23.65881694,15.40535018,0.017782926,0.016501698,72.94825694,93.73579073,0.358044001,0.203850382,0.261186858,0.191080768,0.087062286,0.047770192,-0.144534608,4.895835815,2.894865242,-8.758771849,0.243160856,0.234339477,-0.709022991
54,HI,9,GLSE,LN,6/22/18,1,36.70082642,7/16/19,1,38.65163439,NA,6.242116306,18.22123466,NA,NA,78.27017805,91.37317243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,HI,1,GLSE,MN,6/22/18,1,39.47564913,7/16/19,1,28.10739998,390.2560976,0.06893305,0.405400598,79.49051066,44.87988369,0.874243726,3.15802588,0.694940802,1.417318342,0.231646934,0.354329585,1.024958774,3.360462564,0.874023342,2.528261624,0.264968369,0.112199709,0.3245568
56,HI,2,GLSE,MN,6/22/18,0,29.84433966,7/16/19,0,23.2821836,4.023420682,0.004274688,0.006528416,51.85529156,24.22668988,0.027850573,0.028558579,0.014441996,0.006918798,0.004813999,0.0017297,0.000171527,1.126163729,0.264949356,0.02627384,0.172850972,0.060566725,0.00600613
57,HI,3,GLSE,MN,6/22/18,1,35.35064112,7/16/19,0.5,34.32092202,762.454534,0.281579662,0.708988481,72.76933345,84.12643132,5.527478843,16.09850904,4.022309511,13.54310115,1.340769837,3.385775288,8.89303046,4.76160042,4.775501125,12.54326509,0.242564445,0.210316078,0.552413297
58,HI,4,GLSE,MN,6/22/18,1,32.59206316,7/16/19,1,27.03590711,26342.88362,6.468892407,27.66080859,84.34435408,92.97869591,66.8531206,234.0164995,56.38683275,217.5854894,18.79561092,54.39637236,155.4263297,2.905537723,1.966550334,5.619008903,0.281147847,0.23244674,0.664168253
59,HI,5,GLSE,MN,6/22/18,0,NA,7/16/19,0,29.27636249,6.421197,0.002979541,0.003786822,NA,-25.35797798,NA,0.098390737,NA,-0.024949901,NA,-0.006237475,NA,NA,-1.647153034,NA,NA,-0.063394945,NA
60,HI,6,GLSE,MN,6/22/18,1,41.30739742,7/16/19,1,33.47284677,984.052354,0.160929545,0.742580359,87.56136963,88.10390726,1.72230076,12.40776127,1.508070134,10.93172248,0.502690045,2.73293062,9.414308217,3.123665358,3.680316328,12.67783089,0.291871232,0.220259768,0.7587435
61,HI,7,GLSE,MN,6/22/18,1,36.40151318,7/16/19,1,35.5013658,1378.968505,0.250026957,0.990608031,64.29529194,80.60471743,6.447486811,19.61590177,4.145430468,15.81134219,1.381810156,3.952835547,10.61436366,5.526644697,3.990312438,10.7149986,0.21431764,0.201511794,0.541110156
62,HI,8,GLSE,MN,6/22/18,1,38.29513204,7/16/19,1,32.73087469,2039.635867,0.540367231,1.633282979,91.44867132,91.26484091,25.291503,27.47266885,23.12874345,25.07288752,7.709581149,6.26822188,1.990637546,14.26729955,3.837805182,1.218795256,0.304828904,0.228162102,0.072458834
63,HI,9,GLSE,MN,6/22/18,1,30.52428303,7/16/19,1,24.76388064,NA,0.148973807,0.982237159,NA,NA,5.358438362,26.53768014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,HI,1,GLSE,PHN,6/22/18,1,39.2457819,7/16/19,0.5,29.85838797,144.8506793,0.051055113,0.141468713,-3.720769634,17.98733203,2.854482503,2.52051232,-0.106208718,0.45337292,-0.035402906,0.11334323,-0.060072326,-0.693425281,0.801189377,-0.424633294,-0.012402565,0.04496833,-0.023833379
65,HI,2,GLSE,PHN,6/22/18,1,42.77374734,7/16/19,0,35.14659843,588.447549,0.441252324,0.432468949,81.96371398,60.27940567,4.193728384,6.347094317,3.437335538,3.825990731,1.145778513,0.956497683,1.298036186,2.596651508,2.211714124,3.001455223,0.27321238,0.150698514,0.204508728
66,HI,3,GLSE,PHN,6/22/18,1,45.25364658,7/16/19,1,39.25879607,1947.793067,1.548548026,2.196140214,83.85653751,71.91262653,32.58123306,39.91227528,27.32149392,28.70196546,9.107164641,7.175491365,5.271945009,5.881099255,3.267319327,2.400550282,0.279521792,0.179781566,0.13208831
67,HI,4,GLSE,PHN,6/22/18,1,40.39998933,7/16/19,1,33.61294127,579.157018,0.457240524,0.683059573,88.64525147,71.44852898,7.061184339,9.098381589,6.259404614,6.500659806,2.086468205,1.625164951,1.455547467,4.563174292,2.379243357,2.130923165,0.295484172,0.178621322,0.159978723
68,HI,5,GLSE,PHN,6/22/18,0,45.63313023,7/16/19,0,36.15641208,50.057345,0.066024198,0.064100124,73.04042501,58.21522915,1.668303707,1.119638803,1.218536118,0.651800295,0.406178706,0.162950074,-0.319406531,6.151967283,2.542117916,-4.982931567,0.243468083,0.145538073,-0.285276404
69,HI,6,GLSE,PHN,6/22/18,1,38.97024229,7/16/19,1,37.8448194,21698.71903,4.726755272,16.90306307,90.06085514,80.78849227,63.52670279,231.5459478,57.21269177,187.0624801,19.07089726,46.76562003,135.7402148,4.034669908,2.766694997,8.030509866,0.30020285,0.201971231,0.586234465
70,HI,7,GLSE,PHN,6/22/18,0,NA,7/16/19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,HI,8,GLSE,PHN,6/22/18,0,36.45138653,7/16/19,0,45.98255499,113.948034,0.17216632,0.147714775,57.32831228,60.2225774,4.783325713,4.133199768,2.742199902,2.489119429,0.914066634,0.622279857,-0.391522601,5.309207016,4.212712352,-2.65053107,0.191094374,0.150556443,-0.094726271
72,HI,9,GLSE,PHN,6/22/18,1,37.63825917,7/16/19,1,34.36769571,3254.816109,1.089055832,5.746233689,75.71840014,80.10418517,9.248383477,37.82545408,7.002728007,30.29977177,2.334242669,7.574942943,22.89142955,2.143363637,1.318244846,3.983727566,0.252394667,0.200260463,0.605185849
73,HI,1,PSCA,HN,6/22/18,1,17.33392675,7/16/19,1,12.51914326,2338.669297,1.64577883,2.178217958,NA,NA,12.32617037,13.15652654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,HI,2,PSCA,HN,6/22/18,1,13.6585309,7/16/19,1,12.04754697,735.0161848,0.262336076,0.488782248,NA,NA,2.829969098,3.767826712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,HI,3,PSCA,HN,6/22/18,1,14.44098802,7/16/19,0,12.49201712,238.74538,0.278142571,0.282428837,NA,NA,3.109222524,3.214125335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,HI,4,PSCA,HN,6/22/18,1,15.83416026,7/16/19,0.5,13.75691138,514.12077,0.251795793,0.518997737,NA,NA,3.013633069,4.222990148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,HI,5,PSCA,HN,6/22/18,1,13.76077129,7/16/19,0.5,13.23047946,317.1,0.381240431,0.559023799,NA,NA,2.839663124,4.63401868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,HI,6,PSCA,HN,6/22/18,1,12.88989799,7/16/19,1,12.39562332,892.44312,0.51883832,0.84253626,NA,NA,4.205741096,6.250590343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,HI,7,PSCA,HN,6/22/18,1,16.83878046,7/16/19,1,12.49854637,497.22767,0.328348377,0.58813468,NA,NA,3.039626459,4.346333189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,HI,8,PSCA,HN,6/22/18,1,15.63305038,7/16/19,0.5,NA,531.0057,0.417549814,0.64290116,NA,NA,6.914211395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,HI,9,PSCA,HN,6/22/18,1,15.20190364,7/16/19,1,15.3007516,NA,0.236427372,0.375223336,NA,NA,2.211736674,2.979616703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,HI,1,PSCA,LN,6/22/18,1,12.27251176,7/16/19,1,12.24758263,1965.90594,1.186941046,1.858104459,NA,NA,9.38547205,11.42236058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,HI,2,PSCA,LN,6/22/18,1,13.24489623,7/16/19,1,12.88437257,361.74986,0.305619625,0.363674617,NA,NA,3.97176848,3.545840609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,HI,3,PSCA,LN,6/22/18,1,15.06578617,7/16/19,1,11.29629895,254.11077,0.086990131,0.302159415,NA,NA,1.875281777,3.048144712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,HI,4,PSCA,LN,6/22/18,1,11.77428166,7/16/19,1,10.9492357,329.5169643,0.103270193,0.227830379,NA,NA,2.191756432,3.170790769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,HI,5,PSCA,LN,6/22/18,0,14.09202441,7/16/19,0,14.00070662,27.28771,0.037565739,0.027462459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,HI,6,PSCA,LN,6/22/18,1,10.29174221,7/16/19,1,9.476102025,1034.5,0.295189583,0.959685795,NA,NA,2.904791767,6.427721594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,HI,7,PSCA,LN,6/22/18,1,12.34914049,7/16/19,1,8.883178784,404.15589,0.318805698,0.514064557,NA,NA,4.138823319,4.492173988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,HI,8,PSCA,LN,6/22/18,1,10.54848402,7/16/19,1,10.99042739,190.5,0.049330231,0.18523836,NA,NA,1.260331058,2.146461263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,HI,9,PSCA,LN,6/22/18,1,12.96949712,7/16/19,1,10.6661906,NA,0.514841916,2.065161327,NA,NA,4.995285919,8.84517618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,HI,1,PSCA,MN,6/22/18,1,13.66625629,7/16/19,1,12.4325291,NA,0.521395181,0.794728472,NA,NA,5.853802898,8.713588965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,HI,2,PSCA,MN,6/22/18,1,15.77393986,7/16/19,1,NA,108.70767,0.035952603,0.116275608,NA,NA,1.285082994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,HI,3,PSCA,MN,6/22/18,1,17.98844761,7/16/19,0,13.73701011,216.95255,0.210817221,0.170816078,NA,NA,3.659638116,2.778370351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,HI,4,PSCA,MN,6/22/18,1,14.68771621,7/16/19,1,12.52601411,1827.97879,0.833699294,1.288023928,NA,NA,8.137144796,10.21177022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,HI,5,PSCA,MN,6/22/18,1,16.18762604,7/16/19,1,12.59241184,1105.27204,0.578328618,0.91254222,NA,NA,5.518122126,8.26536487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,HI,6,PSCA,MN,6/22/18,1,12.9263483,7/16/19,1,14.11879678,335.6,0.184191234,0.210553225,NA,NA,2.611933016,3.453240424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,HI,7,PSCA,MN,6/22/18,1,14.75117945,7/16/19,0,NA,412.62902,0.367886128,0.567437177,NA,NA,4.194217909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
