Counter,Location,Experiment,Site,Block,PID,Species,Treatment,Date_04,Use_growth_04,Soil_Pase_umol_g_hr_04
66,HI,FX,Waiakea,3,165,GLSE,PHN,6/22/18,1,0.498181101
67,HI,FX,Waiakea,4,177,GLSE,PHN,6/22/18,1,5.920223323
68,HI,FX,Waiakea,5,189,GLSE,PHN,6/22/18,0,14.26541999
69,HI,FX,Waiakea,6,201,GLSE,PHN,6/22/18,1,NA
70,HI,FX,Waiakea,7,213,GLSE,PHN,6/22/18,0,NA
71,HI,FX,Waiakea,8,225,GLSE,PHN,6/22/18,0,NA
72,HI,FX,Waiakea,9,237,GLSE,PHN,6/22/18,1,11.7727575
73,HI,FX,Waiakea,1,139,PSCA,HN,6/22/18,1,22.64569029
74,HI,FX,Waiakea,2,151,PSCA,HN,6/22/18,1,NA
75,HI,FX,Waiakea,3,163,PSCA,HN,6/22/18,1,9.956862789
76,HI,FX,Waiakea,4,175,PSCA,HN,6/22/18,1,5.758255073
77,HI,FX,Waiakea,5,187,PSCA,HN,6/22/18,1,3.825024879
78,HI,FX,Waiakea,6,199,PSCA,HN,6/22/18,1,11.84797691
79,HI,FX,Waiakea,7,211,PSCA,HN,6/22/18,1,3.151083201
80,HI,FX,Waiakea,8,223,PSCA,HN,6/22/18,1,NA
81,HI,FX,Waiakea,9,235,PSCA,HN,6/22/18,1,NA
82,HI,FX,Waiakea,1,133,PSCA,LN,6/22/18,1,16.14670439
83,HI,FX,Waiakea,2,145,PSCA,LN,6/22/18,1,8.472898588
84,HI,FX,Waiakea,3,157,PSCA,LN,6/22/18,1,23.02996345
85,HI,FX,Waiakea,4,169,PSCA,LN,6/22/18,1,12.11486439
86,HI,FX,Waiakea,5,181,PSCA,LN,6/22/18,0,17.94902062
87,HI,FX,Waiakea,6,193,PSCA,LN,6/22/18,1,20.0145305
88,HI,FX,Waiakea,7,205,PSCA,LN,6/22/18,1,NA
89,HI,FX,Waiakea,8,217,PSCA,LN,6/22/18,1,NA
90,HI,FX,Waiakea,9,229,PSCA,LN,6/22/18,1,NA
91,HI,FX,Waiakea,1,136,PSCA,MN,6/22/18,1,6.300262
92,HI,FX,Waiakea,2,148,PSCA,MN,6/22/18,1,4.688292135
93,HI,FX,Waiakea,3,160,PSCA,MN,6/22/18,1,9.437874244
94,HI,FX,Waiakea,4,172,PSCA,MN,6/22/18,1,10.47896531
95,HI,FX,Waiakea,5,184,PSCA,MN,6/22/18,1,22.85356455
96,HI,FX,Waiakea,6,196,PSCA,MN,6/22/18,1,1.097234971
97,HI,FX,Waiakea,7,208,PSCA,MN,6/22/18,1,1.922943674
98,HI,FX,Waiakea,8,220,PSCA,MN,6/22/18,1,NA
99,HI,FX,Waiakea,9,232,PSCA,MN,6/22/18,1,NA
100,HI,FX,Waiakea,1,142,PSCA,PHN,6/22/18,1,2.077625819
101,HI,FX,Waiakea,2,154,PSCA,PHN,6/22/18,1,5.337239438
102,HI,FX,Waiakea,3,166,PSCA,PHN,6/22/18,1,11.30291794
103,HI,FX,Waiakea,4,178,PSCA,PHN,6/22/18,1,7.131764048
104,HI,FX,Waiakea,5,190,PSCA,PHN,6/22/18,1,8.268569057
105,HI,FX,Waiakea,6,202,PSCA,PHN,6/22/18,0,NA
106,HI,FX,Waiakea,7,214,PSCA,PHN,6/22/18,0,6.456231698
107,HI,FX,Waiakea,8,226,PSCA,PHN,6/22/18,1,NA
108,HI,FX,Waiakea,9,238,PSCA,PHN,6/22/18,1,10.28532094
